01-01,148
01-03,140
01-07,143
01-09,139
01-11,137
01-13,142
01-17,150
01-19,133
01-21,159
01-23,141
01-27,147
01-29,152
01-31,153
02-01,156
02-03,156
02-07,141
02-09,142
02-11,148
02-13,156
02-17,139
02-19,135
02-21,142
02-23,136
02-27,135
02-29,34
03-01,127
03-03,145
03-07,142
03-09,131
03-11,144
03-13,140
03-17,145
03-19,152
03-21,147
03-23,146
03-27,151
03-29,143
03-31,149
04-01,148
04-03,155
04-07,158
04-09,142
04-11,157
04-13,143
04-17,152
04-19,142
04-21,148
04-23,148
04-27,156
04-29,148
05-01,148
05-03,153
05-07,144
05-09,158
05-11,144
05-13,151
05-17,155
05-19,142
05-21,147
05-23,148
05-27,139
05-29,146
05-31,137
06-01,150
06-03,166
06-07,146
06-09,148
06-11,156
06-13,141
06-17,150
06-19,155
06-21,140
06-23,137
06-27,147
06-29,131
07-01,140
07-03,154
07-07,151
07-09,151
07-11,138
07-13,129
07-17,140
07-19,145
07-21,142
07-23,134
07-27,159
07-29,138
07-31,135
08-01,149
08-03,137
08-07,149
08-09,143
08-11,164
08-13,145
08-17,145
08-19,151
08-21,153
08-23,150
08-27,142
08-29,117
08-31,161
09-01,162
09-03,157
09-07,130
09-09,148
09-11,140
09-13,137
09-17,147
09-19,146
09-21,158
09-23,135
09-27,142
09-29,160
10-01,157
10-03,156
10-07,141
10-09,140
10-11,139
10-13,145
10-17,157
10-19,146
10-21,143
10-23,136
10-27,149
10-29,149
10-31,143
11-01,148
11-03,145
11-07,148
11-09,145
11-11,130
11-13,140
11-17,140
11-19,152
11-21,135
11-23,157
11-27,145
11-29,167
12-01,156
12-03,131
12-07,144
12-09,149
12-11,161
12-13,145
12-17,161
12-19,146
12-21,141
12-23,139
12-27,143
12-29,144
12-31,158
